Offer_ID,Offer_Send_Date,Offer_Start_Date,Offer_End_Date,Offer_Title,SubCategory2,Segment,Offer_Type,Duration_Type,Offer_Status,Offer_Open_Date,Offer_Activation_Date,Offer_Redeem_Date,Reward_Value_USD,Offer_Period_Visited,Incremental_Revenue,Opened,Activated,Redeemed,Achievement_Rate,Region,Time_to_Respond,Redeem_DayOfWeek,Loyalty_Tier,Customer_Journey,Offer_Month,Customer_ID
OFF00010,2024-04-28,2024-04-29,2024-05-06,Get $2 Cashback on Car Care,Energy Drinks,New,Discount,Weekly,Expired,2024-04-30,2024-05-01,,4.83,1,0.0,0,0,0,0,East,,,Silver,Early Life,2024-04,CUST00011
OFF00011,2024-02-11,2024-02-12,2024-03-13,Buy 1 Get 1 Sweet Snacks Free,Sweet Snacks,Loyalist,BOGO,Weekly,Redeemed,2024-02-13,2024-02-14,2024-02-16,1.16,1,0.0,1,0,0,0,Central,4.0,Friday,Gold,Elapsed,2024-02,CUST00012
OFF00012,2024-01-10,2024-01-11,2024-01-25,Flat $1 off Printer Services,Frozen Foods,New,Discount,Weekly,Redeemed,2024-01-12,2024-01-13,2024-01-15,3.66,1,0.0,0,0,0,0,Central,4.0,Monday,Brown,In Life,2024-01,CUST00013
OFF00013,2024-06-22,2024-06-23,2024-07-23,Buy Hot Coffee and Get 50 Points,Hot Coffee,Lapsed,Discount,Weekly,Redeemed,2024-06-24,2024-06-25,2024-06-27,4.74,0,0.0,1,0,0,0,North,4.0,Thursday,Brown,In Life,2024-06,CUST00014
OFF00014,2024-02-18,2024-02-19,2024-02-26,Free Tyre Check with Car Care Service,Grocery,Loyalist,Cashback,Weekly,Expired,2024-02-19,,,1.15,1,0.0,1,1,0,0,North,,,Gold,Early Life,2024-02,CUST00015
OFF00015,2024-01-09,2024-01-10,2024-01-24,Buy Hot Coffee and Get 50 Points,Grocery,Loyalist,BOGO,Monthly,Expired,2024-01-10,,,4.86,1,0.0,1,0,0,0,Central,,,Silver,Early Life,2024-01,CUST00016
OFF00016,2024-06-15,2024-06-16,2024-06-23,Free Tyre Check with Car Care Service,Sweet Snacks,Loyalist,BOGO,Fortnightly,Expired,2024-06-17,2024-06-18,,3.01,1,0.0,1,1,0,0,South,,,Silver,Elapsed,2024-06,CUST00017
OFF00017,2024-01-02,2024-01-03,2024-01-10,Free Print Credit on Recharge,Sweet Snacks,Loyalist,Cashback,Fortnightly,Expired,2024-01-03,,,4.14,0,8.229622403229916,1,1,1,1,Central,,,Gold,In Life,2024-01,CUST00018
OFF00018,2024-03-08,2024-03-09,2024-04-08,Buy 2 Get 1 Free on Sodas,Salty Snacks,Lapsed,BOGO,Monthly,Expired,2024-03-09,,,3.5,1,0.0,1,1,0,0,North,,,Silver,In Life,2024-03,CUST00019
OFF00019,2024-02-21,2024-02-22,2024-03-07,Free Tyre Check with Car Care Service,Hot Coffee,Lapsed,BOGO,Fortnightly,Redeemed,2024-02-23,2024-02-24,2024-02-26,3.47,1,0.0,1,1,0,0,Central,4.0,Monday,Gold,In Life,2024-02,CUST00020
OFF00020,2024-05-18,2024-05-19,2024-06-02,Flat $1 Off Hot Coffee,Salty Snacks,New,BOGO,Weekly,Redeemed,2024-05-19,2024-05-20,2024-05-21,4.16,0,0.0,1,0,0,0,Central,2.0,Tuesday,Silver,Elapsed,2024-05,CUST00021
OFF00021,2024-02-06,2024-02-07,2024-02-21,Flat $1 off Printer Services,Soft Drinks,New,Discount,Fortnightly,Redeemed,2024-02-08,2024-02-09,2024-02-10,1.26,1,2.511082266852141,1,1,1,1,North,3.0,Saturday,Brown,Elapsed,2024-02,CUST00022
OFF00022,2024-01-22,2024-01-23,2024-02-22,Get $2 Cashback on Car Care,Energy Drinks,Loyalist,BOGO,Weekly,Expired,2024-01-24,,,2.57,0,0.0,0,0,0,0,Central,,,Brown,In Life,2024-01,CUST00023
OFF00023,2024-06-28,2024-06-29,2024-07-13,20% off Carbonated Drinks,Frozen Foods,Lapsed,BOGO,Weekly,Activated,2024-06-29,2024-06-30,,4.88,0,10.58025962737276,1,1,1,1,Central,,,Brown,Early Life,2024-06,CUST00024
OFF00024,2024-01-05,2024-01-06,2024-02-05,Buy 2 Get 1 Free on Sodas,Car Care,New,BOGO,Fortnightly,Expired,2024-01-07,,,1.22,0,0.0,1,0,0,0,North,,,Brown,Elapsed,2024-01,CUST00025
OFF00025,2024-05-09,2024-05-10,2024-05-24,Buy 1 Get 1 Sweet Snacks Free,Hot Coffee,Loyalist,Cashback,Fortnightly,Redeemed,2024-05-10,2024-05-11,2024-05-12,2.05,0,4.9618737678960665,1,1,1,1,West,2.0,Sunday,Brown,Early Life,2024-05,CUST00026
OFF00026,2024-05-12,2024-05-13,2024-06-12,Buy 1 Get 1 Sweet Snacks Free,Energy Drinks,Loyalist,Discount,Monthly,Expired,2024-05-13,2024-05-14,,3.69,0,0.0,0,0,0,0,South,,,Brown,Elapsed,2024-05,CUST00027
OFF00027,2024-04-08,2024-04-09,2024-04-23,Flat $1 Off Hot Coffee,Hot Coffee,New,BOGO,Weekly,Expired,2024-04-09,2024-04-10,,1.4,1,0.0,0,0,0,0,Central,,,Brown,Elapsed,2024-04,CUST00028
OFF00028,2024-06-08,2024-06-09,2024-07-09,Free Tyre Check with Car Care Service,Soft Drinks,Lapsed,Cashback,Weekly,Opened,2024-06-09,,,3.15,1,0.0,1,1,0,0,Central,,,Silver,In Life,2024-06,CUST00029
OFF00029,2024-05-26,2024-05-27,2024-06-03,Get $2 Cashback on Car Care,Sweet Snacks,Lapsed,Cashback,Fortnightly,Expired,2024-05-28,,,3.85,1,0.0,1,1,0,0,Central,,,Silver,In Life,2024-05,CUST00030
OFF00030,2024-04-12,2024-04-13,2024-04-20,Get $2 Off Sweet Snacks Combo,Hot Coffee,Lapsed,BOGO,Fortnightly,Redeemed,2024-04-14,2024-04-15,2024-04-16,4.03,1,7.737459478928596,1,1,1,1,Central,3.0,Tuesday,Gold,Elapsed,2024-04,CUST00031
OFF00031,2024-04-24,2024-04-25,2024-05-02,Free Tyre Check with Car Care Service,Hot Coffee,Lapsed,Cashback,Fortnightly,Expired,,,,3.24,1,0.0,0,0,0,0,Central,,,Brown,Elapsed,2024-04,CUST00032
OFF00032,2024-01-04,2024-01-05,2024-01-19,Get $2 Cashback on Car Care,Energy Drinks,Lapsed,BOGO,Weekly,Redeemed,2024-01-05,2024-01-06,2024-01-07,3.0,0,0.0,0,0,0,0,Central,2.0,Sunday,Gold,In Life,2024-01,CUST00033
OFF00033,2024-03-27,2024-03-28,2024-04-27,20% off Carbonated Drinks,Sweet Snacks,New,Cashback,Weekly,Expired,,,,3.86,1,0.0,0,0,0,0,North,,,Brown,In Life,2024-03,CUST00034
OFF00034,2024-02-15,2024-02-16,2024-02-23,Get $2 Off Sweet Snacks Combo,Car Care,New,BOGO,Monthly,Expired,2024-02-16,,,1.58,1,0.0,1,0,0,0,South,,,Platinum,Early Life,2024-02,CUST00035
OFF00035,2024-03-23,2024-03-24,2024-04-07,Free Print Credit on Recharge,Energy Drinks,Lapsed,Discount,Weekly,Expired,2024-03-25,,,3.72,1,0.0,1,1,0,0,North,,,Brown,Early Life,2024-03,CUST00036
OFF00036,2024-06-02,2024-06-03,2024-07-03,Buy 1 Get 1 Sweet Snacks Free,Soft Drinks,New,Cashback,Fortnightly,Redeemed,2024-06-04,2024-06-05,2024-06-07,4.68,1,0.0,0,0,0,0,West,4.0,Friday,Gold,Early Life,2024-06,CUST00037
OFF00037,2024-02-19,2024-02-20,2024-02-27,Flat $1 off Printer Services,Sweet Snacks,Loyalist,BOGO,Weekly,Expired,2024-02-20,,,3.73,1,8.982723590093737,1,1,1,1,Central,,,Brown,In Life,2024-02,CUST00038
OFF00038,2024-01-26,2024-01-27,2024-02-03,20% off Carbonated Drinks,Car Care,Loyalist,Discount,Weekly,Redeemed,2024-01-28,2024-01-29,2024-01-30,1.19,1,0.0,1,1,0,0,West,3.0,Tuesday,Platinum,In Life,2024-01,CUST00039
OFF00039,2024-03-11,2024-03-12,2024-03-26,Flat $1 Off Hot Coffee,Energy Drinks,Lapsed,BOGO,Monthly,Redeemed,2024-03-12,2024-03-13,2024-03-15,3.02,0,0.0,1,1,0,0,North,3.0,Friday,Gold,Early Life,2024-03,CUST00040
OFF00040,2024-02-01,2024-02-02,2024-03-03,Get $2 Cashback on Car Care,Energy Drinks,Lapsed,Cashback,Weekly,Redeemed,2024-02-03,2024-02-04,2024-02-05,3.91,1,0.0,0,0,0,0,Central,3.0,Monday,Silver,In Life,2024-02,CUST00041
OFF00041,2024-04-20,2024-04-21,2024-05-05,20% off Carbonated Drinks,Salty Snacks,Lapsed,BOGO,Monthly,Expired,2024-04-21,2024-04-22,,1.17,1,1.7646242443991538,1,1,1,1,West,,,Silver,Early Life,2024-04,CUST00042
OFF00042,2024-04-26,2024-04-27,2024-05-04,Get $2 Cashback on Car Care,Energy Drinks,New,BOGO,Fortnightly,Redeemed,2024-04-28,2024-04-29,2024-04-30,4.05,1,0.0,1,1,0,0,North,3.0,Tuesday,Brown,Early Life,2024-04,CUST00043
OFF00043,2024-04-06,2024-04-07,2024-04-21,Flat $1 Off Hot Coffee,Hot Coffee,New,BOGO,Weekly,Expired,2024-04-08,2024-04-09,,2.13,0,4.612031305622217,1,1,1,1,Central,,,Brown,Early Life,2024-04,CUST00044
OFF00044,2024-06-20,2024-06-21,2024-07-05,Flat $1 Off Hot Coffee,Hot Coffee,Loyalist,BOGO,Weekly,Activated,2024-06-22,2024-06-23,,3.36,1,0.0,0,0,0,0,Central,,,Brown,Elapsed,2024-06,CUST00045
OFF00045,2024-01-26,2024-01-27,2024-02-03,20% off Carbonated Drinks,Soft Drinks,Loyalist,BOGO,Weekly,Expired,2024-01-27,2024-01-28,,4.87,1,10.28528537242963,1,1,1,1,Central,,,Silver,Early Life,2024-01,CUST00046
OFF00046,2024-03-28,2024-03-29,2024-04-05,Flat $1 Off Hot Coffee,Printer Services,Loyalist,Cashback,Monthly,Expired,2024-03-29,,,4.98,1,0.0,1,1,0,0,West,,,Brown,Elapsed,2024-03,CUST00047
OFF00047,2024-02-20,2024-02-21,2024-03-22,Flat $1 off Printer Services,Sweet Snacks,Loyalist,BOGO,Weekly,Expired,2024-02-21,,,3.54,0,0.0,1,0,0,0,Central,,,Silver,Early Life,2024-02,CUST00048
OFF00048,2024-03-27,2024-03-28,2024-04-27,Buy Hot Coffee and Get 50 Points,Soft Drinks,Loyalist,BOGO,Weekly,Redeemed,2024-03-29,2024-03-30,2024-03-31,2.97,1,5.334382309625079,1,1,1,1,West,3.0,Sunday,Gold,Elapsed,2024-03,CUST00049
OFF00049,2024-06-14,2024-06-15,2024-06-22,Get $2 Cashback on Car Care,Grocery,Loyalist,BOGO,Monthly,Redeemed,2024-06-15,2024-06-16,2024-06-18,1.71,0,0.0,0,0,0,0,Central,3.0,Tuesday,Silver,Early Life,2024-06,CUST00050
OFF00050,2024-01-26,2024-01-27,2024-02-03,Free Tyre Check with Car Care Service,Sweet Snacks,Loyalist,Cashback,Monthly,Expired,2024-01-28,2024-01-29,,1.83,1,0.0,1,1,0,0,Central,,,Brown,In Life,2024-01,CUST00051
OFF00051,2024-05-03,2024-05-04,2024-06-03,Get $2 Cashback on Car Care,Car Care,Lapsed,BOGO,Weekly,Expired,2024-05-04,2024-05-05,,2.72,1,0.0,1,0,0,0,Central,,,Silver,Elapsed,2024-05,CUST00052
OFF00052,2024-06-21,2024-06-22,2024-07-06,Free Tyre Check with Car Care Service,Salty Snacks,New,Discount,Monthly,Redeemed,2024-06-22,2024-06-23,2024-06-24,3.81,0,0.0,0,0,0,0,Central,2.0,Monday,Brown,Early Life,2024-06,CUST00053
OFF00053,2024-01-31,2024-02-01,2024-02-08,Free Print Credit on Recharge,Car Care,New,BOGO,Monthly,Expired,2024-02-01,2024-02-02,,4.08,1,0.0,1,0,0,0,Central,,,Silver,In Life,2024-01,CUST00054
OFF00054,2024-05-05,2024-05-06,2024-05-13,Buy 1 Get 1 Sweet Snacks Free,Hot Coffee,Loyalist,BOGO,Fortnightly,Expired,2024-05-07,2024-05-08,,1.89,1,0.0,1,1,0,0,South,,,Silver,In Life,2024-05,CUST00055
OFF00055,2024-02-14,2024-02-15,2024-02-29,Buy 2 Get 1 Free on Sodas,Hot Coffee,Lapsed,BOGO,Monthly,Expired,2024-02-15,2024-02-16,,3.14,0,6.925017433424859,1,1,1,1,Central,,,Silver,Early Life,2024-02,CUST00056
OFF00056,2024-01-31,2024-02-01,2024-03-02,Get $2 Cashback on Car Care,Salty Snacks,New,BOGO,Monthly,Expired,2024-02-02,,,3.37,0,0.0,1,0,0,0,East,,,Silver,In Life,2024-01,CUST00057
OFF00057,2024-04-20,2024-04-21,2024-05-21,Buy Hot Coffee and Get 50 Points,Salty Snacks,Lapsed,Discount,Weekly,Expired,2024-04-22,,,4.57,0,0.0,0,0,0,0,East,,,Gold,In Life,2024-04,CUST00058
OFF00058,2024-03-01,2024-03-02,2024-03-16,Get $2 Cashback on Car Care,Grocery,Loyalist,BOGO,Weekly,Redeemed,2024-03-03,2024-03-04,2024-03-05,4.51,1,0.0,1,1,0,0,Central,3.0,Tuesday,Platinum,In Life,2024-03,CUST00059
OFF00059,2024-06-24,2024-06-25,2024-07-02,Buy Hot Coffee and Get 50 Points,Soft Drinks,Loyalist,BOGO,Fortnightly,Redeemed,2024-06-26,2024-06-27,2024-06-28,4.27,1,0.0,1,0,0,0,East,3.0,Friday,Gold,Early Life,2024-06,CUST00060
OFF00060,2024-02-14,2024-02-15,2024-02-29,Flat $1 Off Hot Coffee,Hot Coffee,Lapsed,BOGO,Weekly,Expired,2024-02-15,2024-02-16,,3.07,1,0.0,1,1,0,0,West,,,Brown,Elapsed,2024-02,CUST00061
OFF00061,2024-02-29,2024-03-01,2024-03-08,Get $2 Cashback on Car Care,Sweet Snacks,New,BOGO,Fortnightly,Expired,2024-03-02,2024-03-03,,1.26,0,0.0,1,1,0,0,North,,,Brown,Early Life,2024-02,CUST00062
OFF00062,2024-02-21,2024-02-22,2024-03-23,Flat $1 off Printer Services,Sweet Snacks,Loyalist,BOGO,Fortnightly,Redeemed,2024-02-23,2024-02-24,2024-02-25,2.34,1,3.766671226344709,1,1,1,1,Central,3.0,Sunday,Gold,Early Life,2024-02,CUST00063
OFF00063,2024-02-21,2024-02-22,2024-02-29,Buy Hot Coffee and Get 50 Points,Energy Drinks,Lapsed,BOGO,Weekly,Redeemed,2024-02-22,2024-02-23,2024-02-24,3.49,0,0.0,1,1,0,0,Central,2.0,Saturday,Platinum,Elapsed,2024-02,CUST00064
OFF00064,2024-03-16,2024-03-17,2024-03-24,Buy Hot Coffee and Get 50 Points,Hot Coffee,New,BOGO,Fortnightly,Expired,2024-03-18,,,3.55,0,0.0,1,0,0,0,East,,,Brown,Early Life,2024-03,CUST00065
OFF00065,2024-03-02,2024-03-03,2024-03-10,Free Tyre Check with Car Care Service,Grocery,Loyalist,Cashback,Weekly,Expired,2024-03-04,2024-03-05,,4.4,0,0.0,1,1,0,0,Central,,,Platinum,Elapsed,2024-03,CUST00066
OFF00066,2024-06-02,2024-06-03,2024-06-10,Flat $1 Off Hot Coffee,Frozen Foods,Loyalist,BOGO,Weekly,Expired,2024-06-03,,,2.52,1,6.158851273879336,1,1,1,1,Central,,,Gold,In Life,2024-06,CUST00067
OFF00067,2024-03-07,2024-03-08,2024-03-15,Buy Hot Coffee and Get 50 Points,Printer Services,New,Cashback,Fortnightly,Redeemed,2024-03-09,2024-03-10,2024-03-11,4.75,1,9.852353405786161,1,1,1,1,Central,3.0,Monday,Platinum,In Life,2024-03,CUST00068
OFF00068,2024-03-19,2024-03-20,2024-04-19,Free Tyre Check with Car Care Service,Energy Drinks,New,Cashback,Fortnightly,Redeemed,2024-03-20,2024-03-21,2024-03-22,1.65,1,0.0,1,1,0,0,Central,2.0,Friday,Brown,Early Life,2024-03,CUST00069
OFF00069,2024-02-18,2024-02-19,2024-03-04,Get $2 Cashback on Car Care,Car Care,New,Cashback,Fortnightly,Expired,,,,1.2,0,0.0,1,0,0,0,Central,,,Silver,Early Life,2024-02,CUST00070
OFF00070,2024-03-28,2024-03-29,2024-04-28,20% off Carbonated Drinks,Car Care,Loyalist,Discount,Weekly,Redeemed,2024-03-30,2024-03-31,2024-04-01,1.71,1,0.0,0,0,0,0,Central,3.0,Monday,Silver,In Life,2024-03,CUST00071
OFF00071,2024-04-24,2024-04-25,2024-05-02,Flat $1 off Printer Services,Sweet Snacks,Lapsed,Cashback,Weekly,Redeemed,2024-04-26,2024-04-27,2024-04-28,2.85,1,0.0,0,0,0,0,Central,3.0,Sunday,Gold,Elapsed,2024-04,CUST00072
OFF00072,2024-02-13,2024-02-14,2024-02-28,Free Print Credit on Recharge,Hot Coffee,Lapsed,Cashback,Weekly,Expired,2024-02-14,2024-02-15,,4.29,0,10.4048647981986,1,1,1,1,Central,,,Gold,In Life,2024-02,CUST00073
OFF00073,2024-02-05,2024-02-06,2024-02-13,Buy Hot Coffee and Get 50 Points,Hot Coffee,New,Cashback,Weekly,Redeemed,2024-02-07,2024-02-08,2024-02-09,1.62,1,0.0,1,0,0,0,Central,3.0,Friday,Platinum,Early Life,2024-02,CUST00074
OFF00074,2024-06-20,2024-06-21,2024-07-21,Free Print Credit on Recharge,Energy Drinks,Lapsed,BOGO,Weekly,Redeemed,2024-06-21,2024-06-22,2024-06-24,3.19,0,0.0,0,0,0,0,North,3.0,Monday,Gold,In Life,2024-06,CUST00075
OFF00075,2024-01-22,2024-01-23,2024-02-22,Flat $1 Off Hot Coffee,Hot Coffee,New,Cashback,Fortnightly,Redeemed,2024-01-24,2024-01-25,2024-01-26,4.11,0,8.556630258134742,1,1,1,1,West,3.0,Friday,Brown,In Life,2024-01,CUST00076
OFF00076,2024-05-09,2024-05-10,2024-05-17,20% off Carbonated Drinks,Hot Coffee,Loyalist,Discount,Fortnightly,Redeemed,2024-05-10,2024-05-11,2024-05-12,1.14,1,0.0,1,1,0,0,Central,2.0,Sunday,Silver,Elapsed,2024-05,CUST00077
OFF00077,2024-01-07,2024-01-08,2024-01-15,Free Tyre Check with Car Care Service,Hot Coffee,Lapsed,Cashback,Weekly,Expired,2024-01-09,2024-01-10,,1.17,0,0.0,1,1,0,0,Central,,,Silver,In Life,2024-01,CUST00078
OFF00078,2024-01-16,2024-01-17,2024-01-31,Get $2 Cashback on Car Care,Frozen Foods,Loyalist,BOGO,Weekly,Redeemed,2024-01-17,2024-01-18,2024-01-20,2.96,1,5.754969586758991,1,1,1,1,Central,3.0,Saturday,Platinum,Elapsed,2024-01,CUST00079
OFF00079,2024-04-03,2024-04-04,2024-04-18,Free Tyre Check with Car Care Service,Soft Drinks,Loyalist,Discount,Weekly,Expired,2024-04-05,2024-04-06,,1.73,0,0.0,0,0,0,0,West,,,Silver,In Life,2024-04,CUST00080
OFF00080,2024-02-13,2024-02-14,2024-02-21,Free Print Credit on Recharge,Soft Drinks,New,BOGO,Monthly,Expired,2024-02-15,,,2.8,0,0.0,1,0,0,0,North,,,Gold,Elapsed,2024-02,CUST00081
OFF00081,2024-04-19,2024-04-20,2024-05-04,Buy 2 Get 1 Free on Sodas,Sweet Snacks,New,Cashback,Fortnightly,Expired,2024-04-20,,,1.18,1,0.0,1,0,0,0,Central,,,Brown,Elapsed,2024-04,CUST00082
OFF00082,2024-03-05,2024-03-06,2024-03-13,Free Print Credit on Recharge,Sweet Snacks,Lapsed,BOGO,Monthly,Expired,,,,4.91,1,0.0,1,0,0,0,South,,,Gold,In Life,2024-03,CUST00083
OFF00083,2024-03-13,2024-03-14,2024-03-21,Flat $1 off Printer Services,Sweet Snacks,Loyalist,Discount,Weekly,Expired,2024-03-15,2024-03-16,,3.62,1,0.0,1,1,0,0,Central,,,Brown,In Life,2024-03,CUST00084
OFF00084,2024-03-11,2024-03-12,2024-03-19,20% off Carbonated Drinks,Car Care,Loyalist,Cashback,Fortnightly,Expired,2024-03-13,,,3.75,1,7.54664312387726,1,1,1,1,Central,,,Gold,In Life,2024-03,CUST00085
OFF00085,2024-06-06,2024-06-07,2024-07-07,20% off Carbonated Drinks,Car Care,Loyalist,Cashback,Fortnightly,Redeemed,2024-06-08,2024-06-09,2024-06-10,3.04,1,0.0,1,1,0,0,Central,3.0,Monday,Platinum,Elapsed,2024-06,CUST00086
OFF00086,2024-06-18,2024-06-19,2024-06-26,20% off Carbonated Drinks,Energy Drinks,New,BOGO,Weekly,Redeemed,2024-06-19,2024-06-20,2024-06-21,4.3,1,0.0,1,0,0,0,Central,2.0,Friday,Brown,Early Life,2024-06,CUST00087
OFF00087,2024-03-14,2024-03-15,2024-03-22,20% off Carbonated Drinks,Grocery,New,BOGO,Fortnightly,Redeemed,2024-03-16,2024-03-17,2024-03-19,4.33,1,0.0,1,1,0,0,South,4.0,Tuesday,Silver,Early Life,2024-03,CUST00088
OFF00088,2024-01-25,2024-01-26,2024-02-02,Get $2 Cashback on Car Care,Car Care,Loyalist,BOGO,Weekly,Redeemed,2024-01-27,2024-01-28,2024-01-30,1.64,0,0.0,1,0,0,0,North,4.0,Tuesday,Platinum,Elapsed,2024-01,CUST00089
OFF00089,2024-03-22,2024-03-23,2024-04-06,Buy 1 Get 1 Sweet Snacks Free,Energy Drinks,Loyalist,BOGO,Weekly,Expired,2024-03-24,,,4.07,1,7.091237018562804,1,1,1,1,South,,,Brown,Elapsed,2024-03,CUST00090
OFF00090,2024-03-11,2024-03-12,2024-03-19,Get $2 Off Sweet Snacks Combo,Sweet Snacks,Loyalist,BOGO,Fortnightly,Expired,2024-03-12,2024-03-13,,3.27,1,0.0,1,0,0,0,North,,,Brown,Elapsed,2024-03,CUST00091
OFF00091,2024-02-26,2024-02-27,2024-03-28,Buy 2 Get 1 Free on Sodas,Car Care,New,BOGO,Weekly,Expired,2024-02-27,2024-02-28,,4.05,1,6.843151425788231,1,1,1,1,Central,,,Silver,In Life,2024-02,CUST00092
OFF00092,2024-06-08,2024-06-09,2024-07-09,Buy 1 Get 1 Sweet Snacks Free,Hot Coffee,Loyalist,Cashback,Fortnightly,Opened,2024-06-09,,,4.67,1,10.517110368284436,1,1,1,1,North,,,Platinum,In Life,2024-06,CUST00093
OFF00093,2024-02-19,2024-02-20,2024-02-27,Buy 1 Get 1 Sweet Snacks Free,Energy Drinks,New,Cashback,Fortnightly,Redeemed,2024-02-21,2024-02-22,2024-02-24,2.34,0,0.0,0,0,0,0,Central,4.0,Saturday,Silver,In Life,2024-02,CUST00094
OFF00094,2024-03-15,2024-03-16,2024-03-23,Buy 2 Get 1 Free on Sodas,Hot Coffee,New,BOGO,Weekly,Redeemed,2024-03-17,2024-03-18,2024-03-20,3.28,1,0.0,1,0,0,0,Central,4.0,Wednesday,Silver,Early Life,2024-03,CUST00095
OFF00095,2024-05-17,2024-05-18,2024-05-25,Get $2 Off Sweet Snacks Combo,Frozen Foods,New,BOGO,Monthly,Expired,2024-05-19,,,4.15,1,0.0,1,0,0,0,South,,,Brown,In Life,2024-05,CUST00096
OFF00096,2024-05-29,2024-05-30,2024-06-29,Flat $1 off Printer Services,Car Care,New,Cashback,Weekly,Expired,2024-05-30,,,4.95,1,0.0,1,0,0,0,West,,,Platinum,Early Life,2024-05,CUST00097
OFF00097,2024-02-10,2024-02-11,2024-02-25,Buy Hot Coffee and Get 50 Points,Hot Coffee,Loyalist,BOGO,Weekly,Expired,2024-02-11,2024-02-12,,3.45,0,6.351086668320685,1,1,1,1,Central,,,Silver,In Life,2024-02,CUST00098
OFF00098,2024-02-16,2024-02-17,2024-03-02,Flat $1 Off Hot Coffee,Printer Services,New,Cashback,Weekly,Expired,2024-02-18,,,3.88,1,0.0,1,0,0,0,Central,,,Brown,Early Life,2024-02,CUST00099
OFF00099,2024-05-21,2024-05-22,2024-05-29,Buy 2 Get 1 Free on Sodas,Salty Snacks,Lapsed,Discount,Monthly,Expired,2024-05-22,,,4.39,1,0.0,1,0,0,0,Central,,,Silver,Elapsed,2024-05,CUST00100
OFF00100,2024-05-10,2024-05-11,2024-05-25,Free Tyre Check with Car Care Service,Sweet Snacks,New,BOGO,Fortnightly,Redeemed,2024-05-12,2024-05-13,2024-05-15,4.01,1,0.0,0,0,0,0,West,4.0,Wednesday,Silver,Elapsed,2024-05,CUST00101
OFF00101,2024-03-18,2024-03-19,2024-04-18,Buy 2 Get 1 Free on Sodas,Hot Coffee,New,Cashback,Fortnightly,Redeemed,2024-03-19,2024-03-20,2024-03-21,4.77,0,0.0,1,1,0,0,West,2.0,Thursday,Silver,Elapsed,2024-03,CUST00102
