SubCategory2,Segment,Offer_Type,Generosity Level,Scenario_Insight,Generosity_Numeric
Car Care,Lapsed,Cashback,45%,Test this range in pilot to assess behavioral and financial response.,45
Car Care,Lapsed,Cashback,50%,Test this range in pilot to assess behavioral and financial response.,50
Car Care,Lapsed,Cashback,55%,Test this range in pilot to assess behavioral and financial response.,55
Car Care,Lapsed,Cashback,60%,Test this range in pilot to assess behavioral and financial response.,60
Car Care,Lapsed,Cashback,65%,Test this range in pilot to assess behavioral and financial response.,65
Car Care,Lapsed,Cashback,70%,Test this range in pilot to assess behavioral and financial response.,70
Car Care,Lapsed,Cashback,75%,Very high generosity – test with caution; high cost implications.,75
Car Care,Lapsed,Cashback,80%,Very high generosity – test with caution; high cost implications.,80
Car Care,Lapsed,Cashback,85%,Very high generosity – test with caution; high cost implications.,85
Car Care,Lapsed,Cashback,90%,Very high generosity – test with caution; high cost implications.,90
Car Care,Lapsed,Cashback,95%,Very high generosity – test with caution; high cost implications.,95
Car Care,Lapsed,Cashback,100%,Very high generosity – test with caution; high cost implications.,100
Car Care,Lapsed,Discount,5%,Too low to drive behavior change in any segment.,5
Car Care,Lapsed,Discount,10%,Insufficient to reactivate lapsed users in a high-ticket category.,10
Car Care,Lapsed,Discount,15%,Insufficient to reactivate lapsed users in a high-ticket category.,15
Car Care,Lapsed,Discount,20%,Insufficient to reactivate lapsed users in a high-ticket category.,20
Car Care,Lapsed,Discount,25%,Insufficient to reactivate lapsed users in a high-ticket category.,25
Car Care,Lapsed,Discount,30%,Strategically strong range for reactivation with moderate cost.,30
Car Care,Lapsed,Discount,35%,Strategically strong range for reactivation with moderate cost.,35
Car Care,Lapsed,Discount,40%,Strategically strong range for reactivation with moderate cost.,40
Car Care,Lapsed,Discount,45%,Strategically strong range for reactivation with moderate cost.,45
Car Care,Lapsed,Discount,50%,Over-investment risk; incremental returns diminish beyond 45%.,50
Car Care,Lapsed,Discount,55%,Over-investment risk; incremental returns diminish beyond 45%.,55
Car Care,Lapsed,Discount,60%,Over-investment risk; incremental returns diminish beyond 45%.,60
Car Care,Lapsed,Discount,65%,Over-investment risk; incremental returns diminish beyond 45%.,65
Car Care,Lapsed,Discount,70%,Over-investment risk; incremental returns diminish beyond 45%.,70
Car Care,Lapsed,Discount,75%,Over-investment risk; incremental returns diminish beyond 45%.,75
Car Care,Lapsed,Discount,80%,Over-investment risk; incremental returns diminish beyond 45%.,80
Car Care,Lapsed,Discount,85%,Over-investment risk; incremental returns diminish beyond 45%.,85
Car Care,Lapsed,Discount,90%,Over-investment risk; incremental returns diminish beyond 45%.,90
Car Care,Lapsed,Discount,95%,Over-investment risk; incremental returns diminish beyond 45%.,95
Car Care,Lapsed,Discount,100%,Over-investment risk; incremental returns diminish beyond 45%.,100
Car Care,New,BOGO,5%,Too low to drive behavior change in any segment.,5
Car Care,New,BOGO,10%,Not recommended due to product nature and low purchase frequency.,10
Car Care,New,BOGO,15%,Not recommended due to product nature and low purchase frequency.,15
Car Care,New,BOGO,20%,Not recommended due to product nature and low purchase frequency.,20
Car Care,New,BOGO,25%,Not recommended due to product nature and low purchase frequency.,25
Car Care,New,BOGO,30%,Not recommended due to product nature and low purchase frequency.,30
Car Care,New,BOGO,35%,Not recommended due to product nature and low purchase frequency.,35
Car Care,New,BOGO,40%,Not recommended due to product nature and low purchase frequency.,40
Car Care,New,BOGO,45%,Not recommended due to product nature and low purchase frequency.,45
Car Care,New,BOGO,50%,Not recommended due to product nature and low purchase frequency.,50
Car Care,New,BOGO,55%,Not recommended due to product nature and low purchase frequency.,55
Car Care,New,BOGO,60%,Not recommended due to product nature and low purchase frequency.,60
Car Care,New,BOGO,65%,Not recommended due to product nature and low purchase frequency.,65
Car Care,New,BOGO,70%,Not recommended due to product nature and low purchase frequency.,70
Car Care,New,BOGO,75%,Not recommended due to product nature and low purchase frequency.,75
Car Care,New,BOGO,80%,Not recommended due to product nature and low purchase frequency.,80
Car Care,New,BOGO,85%,Not recommended due to product nature and low purchase frequency.,85
Car Care,New,BOGO,90%,Not recommended due to product nature and low purchase frequency.,90
Car Care,New,BOGO,95%,Not recommended due to product nature and low purchase frequency.,95
Car Care,New,BOGO,100%,Not recommended due to product nature and low purchase frequency.,100
Car Care,New,Cashback,5%,Too low to drive behavior change in any segment.,5
Car Care,New,Cashback,10%,Insufficient to create meaningful impact in most contexts.,10
Car Care,New,Cashback,15%,Test this range in pilot to assess behavioral and financial response.,15
Car Care,New,Cashback,20%,Test this range in pilot to assess behavioral and financial response.,20
Car Care,New,Cashback,25%,Test this range in pilot to assess behavioral and financial response.,25
Car Care,New,Cashback,30%,Test this range in pilot to assess behavioral and financial response.,30
Car Care,New,Cashback,35%,Test this range in pilot to assess behavioral and financial response.,35
Car Care,New,Cashback,40%,Test this range in pilot to assess behavioral and financial response.,40
Car Care,New,Cashback,45%,Test this range in pilot to assess behavioral and financial response.,45
Car Care,New,Cashback,50%,Test this range in pilot to assess behavioral and financial response.,50
Car Care,New,Cashback,55%,Test this range in pilot to assess behavioral and financial response.,55
Car Care,New,Cashback,60%,Test this range in pilot to assess behavioral and financial response.,60
Car Care,New,Cashback,65%,Test this range in pilot to assess behavioral and financial response.,65
Car Care,New,Cashback,70%,Test this range in pilot to assess behavioral and financial response.,70
Car Care,New,Cashback,75%,Very high generosity – test with caution; high cost implications.,75
Car Care,New,Cashback,80%,Very high generosity – test with caution; high cost implications.,80
Car Care,New,Cashback,85%,Very high generosity – test with caution; high cost implications.,85
Car Care,New,Cashback,90%,Very high generosity – test with caution; high cost implications.,90
Car Care,New,Cashback,95%,Very high generosity – test with caution; high cost implications.,95
Car Care,New,Cashback,100%,Very high generosity – test with caution; high cost implications.,100
Car Care,New,Discount,5%,Too low to drive behavior change in any segment.,5
Car Care,New,Discount,10%,Encourages trial; within safe investment range.,10
Car Care,New,Discount,15%,Encourages trial; within safe investment range.,15
Car Care,New,Discount,20%,Encourages trial; within safe investment range.,20
Car Care,New,Discount,25%,Encourages trial; within safe investment range.,25
Car Care,New,Discount,30%,Encourages trial; within safe investment range.,30
Car Care,New,Discount,35%,Encourages trial; within safe investment range.,35
Car Care,New,Discount,40%,Exceeds optimal trial cost; consider testing alternatives.,40
Car Care,New,Discount,45%,Exceeds optimal trial cost; consider testing alternatives.,45
Car Care,New,Discount,50%,Exceeds optimal trial cost; consider testing alternatives.,50
Car Care,New,Discount,55%,Exceeds optimal trial cost; consider testing alternatives.,55
Car Care,New,Discount,60%,Exceeds optimal trial cost; consider testing alternatives.,60
Car Care,New,Discount,65%,Exceeds optimal trial cost; consider testing alternatives.,65
Car Care,New,Discount,70%,Exceeds optimal trial cost; consider testing alternatives.,70
Car Care,New,Discount,75%,Exceeds optimal trial cost; consider testing alternatives.,75
Car Care,New,Discount,80%,Exceeds optimal trial cost; consider testing alternatives.,80
Car Care,New,Discount,85%,Exceeds optimal trial cost; consider testing alternatives.,85
Car Care,New,Discount,90%,Exceeds optimal trial cost; consider testing alternatives.,90
Car Care,New,Discount,95%,Exceeds optimal trial cost; consider testing alternatives.,95
Car Care,New,Discount,100%,Exceeds optimal trial cost; consider testing alternatives.,100
Energy Drinks,Loyalist,BOGO,5%,Too low to drive behavior change in any segment.,5
Energy Drinks,Loyalist,BOGO,10%,Insufficient to create meaningful impact in most contexts.,10
Energy Drinks,Loyalist,BOGO,15%,Test this range in pilot to assess behavioral and financial response.,15
Energy Drinks,Loyalist,BOGO,20%,Test this range in pilot to assess behavioral and financial response.,20
Energy Drinks,Loyalist,BOGO,25%,Test this range in pilot to assess behavioral and financial response.,25
Energy Drinks,Loyalist,BOGO,30%,Test this range in pilot to assess behavioral and financial response.,30
Energy Drinks,Loyalist,BOGO,35%,Test this range in pilot to assess behavioral and financial response.,35
Energy Drinks,Loyalist,BOGO,40%,Test this range in pilot to assess behavioral and financial response.,40
Energy Drinks,Loyalist,BOGO,45%,Test this range in pilot to assess behavioral and financial response.,45
Energy Drinks,Loyalist,BOGO,50%,Test this range in pilot to assess behavioral and financial response.,50
Energy Drinks,Loyalist,BOGO,55%,Test this range in pilot to assess behavioral and financial response.,55
Energy Drinks,Loyalist,BOGO,60%,Test this range in pilot to assess behavioral and financial response.,60
Energy Drinks,Loyalist,BOGO,65%,Test this range in pilot to assess behavioral and financial response.,65
Energy Drinks,Loyalist,BOGO,70%,Test this range in pilot to assess behavioral and financial response.,70
Energy Drinks,Loyalist,BOGO,75%,Very high generosity – test with caution; high cost implications.,75
Energy Drinks,Loyalist,BOGO,80%,Very high generosity – test with caution; high cost implications.,80
Energy Drinks,Loyalist,BOGO,85%,Very high generosity – test with caution; high cost implications.,85
Energy Drinks,Loyalist,BOGO,90%,Very high generosity – test with caution; high cost implications.,90
Energy Drinks,Loyalist,BOGO,95%,Very high generosity – test with caution; high cost implications.,95
Energy Drinks,Loyalist,BOGO,100%,Very high generosity – test with caution; high cost implications.,100
Energy Drinks,Loyalist,Cashback,5%,Too low to drive behavior change in any segment.,5
Energy Drinks,Loyalist,Cashback,10%,Insufficient to create meaningful impact in most contexts.,10
Energy Drinks,Loyalist,Cashback,15%,Test this range in pilot to assess behavioral and financial response.,15
Energy Drinks,Loyalist,Cashback,20%,Test this range in pilot to assess behavioral and financial response.,20
Energy Drinks,Loyalist,Cashback,25%,Test this range in pilot to assess behavioral and financial response.,25
Energy Drinks,Loyalist,Cashback,30%,Test this range in pilot to assess behavioral and financial response.,30
Energy Drinks,Loyalist,Cashback,35%,Test this range in pilot to assess behavioral and financial response.,35
Energy Drinks,Loyalist,Cashback,40%,Test this range in pilot to assess behavioral and financial response.,40
Energy Drinks,Loyalist,Cashback,45%,Test this range in pilot to assess behavioral and financial response.,45
Energy Drinks,Loyalist,Cashback,50%,Test this range in pilot to assess behavioral and financial response.,50
Energy Drinks,Loyalist,Cashback,55%,Test this range in pilot to assess behavioral and financial response.,55
Energy Drinks,Loyalist,Cashback,60%,Test this range in pilot to assess behavioral and financial response.,60
Energy Drinks,Loyalist,Cashback,65%,Test this range in pilot to assess behavioral and financial response.,65
Energy Drinks,Loyalist,Cashback,70%,Test this range in pilot to assess behavioral and financial response.,70
Energy Drinks,Loyalist,Cashback,75%,Very high generosity – test with caution; high cost implications.,75
Energy Drinks,Loyalist,Cashback,80%,Very high generosity – test with caution; high cost implications.,80
Energy Drinks,Loyalist,Cashback,85%,Very high generosity – test with caution; high cost implications.,85
Energy Drinks,Loyalist,Cashback,90%,Very high generosity – test with caution; high cost implications.,90
Energy Drinks,Loyalist,Cashback,95%,Very high generosity – test with caution; high cost implications.,95
Energy Drinks,Loyalist,Cashback,100%,Very high generosity – test with caution; high cost implications.,100
Energy Drinks,Loyalist,Discount,5%,Too low to drive behavior change in any segment.,5
Energy Drinks,Loyalist,Discount,10%,Insufficient to create meaningful impact in most contexts.,10
Energy Drinks,Loyalist,Discount,15%,Test this range in pilot to assess behavioral and financial response.,15
Energy Drinks,Loyalist,Discount,20%,Test this range in pilot to assess behavioral and financial response.,20
Energy Drinks,Loyalist,Discount,25%,Test this range in pilot to assess behavioral and financial response.,25
Energy Drinks,Loyalist,Discount,30%,Test this range in pilot to assess behavioral and financial response.,30
Energy Drinks,Loyalist,Discount,35%,Test this range in pilot to assess behavioral and financial response.,35
Energy Drinks,Loyalist,Discount,40%,Test this range in pilot to assess behavioral and financial response.,40
Energy Drinks,Loyalist,Discount,45%,Test this range in pilot to assess behavioral and financial response.,45
Energy Drinks,Loyalist,Discount,50%,Test this range in pilot to assess behavioral and financial response.,50
Energy Drinks,Loyalist,Discount,55%,Test this range in pilot to assess behavioral and financial response.,55
Energy Drinks,Loyalist,Discount,60%,Test this range in pilot to assess behavioral and financial response.,60
Energy Drinks,Loyalist,Discount,65%,Test this range in pilot to assess behavioral and financial response.,65
Energy Drinks,Loyalist,Discount,70%,Test this range in pilot to assess behavioral and financial response.,70
Energy Drinks,Loyalist,Discount,75%,Very high generosity – test with caution; high cost implications.,75
Energy Drinks,Loyalist,Discount,80%,Very high generosity – test with caution; high cost implications.,80
Energy Drinks,Loyalist,Discount,85%,Very high generosity – test with caution; high cost implications.,85
Energy Drinks,Loyalist,Discount,90%,Very high generosity – test with caution; high cost implications.,90
Energy Drinks,Loyalist,Discount,95%,Very high generosity – test with caution; high cost implications.,95
Energy Drinks,Loyalist,Discount,100%,Very high generosity – test with caution; high cost implications.,100
Energy Drinks,Lapsed,BOGO,5%,Too low to drive behavior change in any segment.,5
Energy Drinks,Lapsed,BOGO,10%,Insufficient to create meaningful impact in most contexts.,10
Energy Drinks,Lapsed,BOGO,15%,Test this range in pilot to assess behavioral and financial response.,15
Energy Drinks,Lapsed,BOGO,20%,Test this range in pilot to assess behavioral and financial response.,20
Energy Drinks,Lapsed,BOGO,25%,Test this range in pilot to assess behavioral and financial response.,25
Energy Drinks,Lapsed,BOGO,30%,Test this range in pilot to assess behavioral and financial response.,30
Energy Drinks,Lapsed,BOGO,35%,Test this range in pilot to assess behavioral and financial response.,35
Energy Drinks,Lapsed,BOGO,40%,Test this range in pilot to assess behavioral and financial response.,40
Energy Drinks,Lapsed,BOGO,45%,Test this range in pilot to assess behavioral and financial response.,45
Energy Drinks,Lapsed,BOGO,50%,Test this range in pilot to assess behavioral and financial response.,50
Energy Drinks,Lapsed,BOGO,55%,Test this range in pilot to assess behavioral and financial response.,55
Energy Drinks,Lapsed,BOGO,60%,Test this range in pilot to assess behavioral and financial response.,60
Energy Drinks,Lapsed,BOGO,65%,Test this range in pilot to assess behavioral and financial response.,65
Energy Drinks,Lapsed,BOGO,70%,Test this range in pilot to assess behavioral and financial response.,70
Energy Drinks,Lapsed,BOGO,75%,Very high generosity – test with caution; high cost implications.,75
Energy Drinks,Lapsed,BOGO,80%,Very high generosity – test with caution; high cost implications.,80
Energy Drinks,Lapsed,BOGO,85%,Very high generosity – test with caution; high cost implications.,85
Energy Drinks,Lapsed,BOGO,90%,Very high generosity – test with caution; high cost implications.,90
Energy Drinks,Lapsed,BOGO,95%,Very high generosity – test with caution; high cost implications.,95
Energy Drinks,Lapsed,BOGO,100%,Very high generosity – test with caution; high cost implications.,100
Energy Drinks,Lapsed,Cashback,5%,Too low to drive behavior change in any segment.,5
Energy Drinks,Lapsed,Cashback,10%,Insufficient to create meaningful impact in most contexts.,10
Energy Drinks,Lapsed,Cashback,15%,Test this range in pilot to assess behavioral and financial response.,15
Energy Drinks,Lapsed,Cashback,20%,Test this range in pilot to assess behavioral and financial response.,20
Energy Drinks,Lapsed,Cashback,25%,Test this range in pilot to assess behavioral and financial response.,25
Energy Drinks,Lapsed,Cashback,30%,Test this range in pilot to assess behavioral and financial response.,30
Energy Drinks,Lapsed,Cashback,35%,Test this range in pilot to assess behavioral and financial response.,35
Energy Drinks,Lapsed,Cashback,40%,Test this range in pilot to assess behavioral and financial response.,40
Energy Drinks,Lapsed,Cashback,45%,Test this range in pilot to assess behavioral and financial response.,45
Energy Drinks,Lapsed,Cashback,50%,Test this range in pilot to assess behavioral and financial response.,50
Energy Drinks,Lapsed,Cashback,55%,Test this range in pilot to assess behavioral and financial response.,55
Energy Drinks,Lapsed,Cashback,60%,Test this range in pilot to assess behavioral and financial response.,60
Energy Drinks,Lapsed,Cashback,65%,Test this range in pilot to assess behavioral and financial response.,65
Energy Drinks,Lapsed,Cashback,70%,Test this range in pilot to assess behavioral and financial response.,70
Energy Drinks,Lapsed,Cashback,75%,Very high generosity – test with caution; high cost implications.,75
Energy Drinks,Lapsed,Cashback,80%,Very high generosity – test with caution; high cost implications.,80
Energy Drinks,Lapsed,Cashback,85%,Very high generosity – test with caution; high cost implications.,85
Energy Drinks,Lapsed,Cashback,90%,Very high generosity – test with caution; high cost implications.,90
Energy Drinks,Lapsed,Cashback,95%,Very high generosity – test with caution; high cost implications.,95
Energy Drinks,Lapsed,Cashback,100%,Very high generosity – test with caution; high cost implications.,100
Energy Drinks,Lapsed,Discount,5%,Too low to drive behavior change in any segment.,5
Energy Drinks,Lapsed,Discount,10%,Insufficient to create meaningful impact in most contexts.,10
Energy Drinks,Lapsed,Discount,15%,Test this range in pilot to assess behavioral and financial response.,15
Energy Drinks,Lapsed,Discount,20%,Test this range in pilot to assess behavioral and financial response.,20
Energy Drinks,Lapsed,Discount,25%,Test this range in pilot to assess behavioral and financial response.,25
Energy Drinks,Lapsed,Discount,30%,Test this range in pilot to assess behavioral and financial response.,30
Energy Drinks,Lapsed,Discount,35%,Test this range in pilot to assess behavioral and financial response.,35
Energy Drinks,Lapsed,Discount,40%,Test this range in pilot to assess behavioral and financial response.,40
Energy Drinks,Lapsed,Discount,45%,Test this range in pilot to assess behavioral and financial response.,45
Energy Drinks,Lapsed,Discount,50%,Test this range in pilot to assess behavioral and financial response.,50
Energy Drinks,Lapsed,Discount,55%,Test this range in pilot to assess behavioral and financial response.,55
Energy Drinks,Lapsed,Discount,60%,Test this range in pilot to assess behavioral and financial response.,60
Energy Drinks,Lapsed,Discount,65%,Test this range in pilot to assess behavioral and financial response.,65
Energy Drinks,Lapsed,Discount,70%,Test this range in pilot to assess behavioral and financial response.,70
Energy Drinks,Lapsed,Discount,75%,Very high generosity – test with caution; high cost implications.,75
Energy Drinks,Lapsed,Discount,80%,Very high generosity – test with caution; high cost implications.,80
Energy Drinks,Lapsed,Discount,85%,Very high generosity – test with caution; high cost implications.,85
Energy Drinks,Lapsed,Discount,90%,Very high generosity – test with caution; high cost implications.,90
Energy Drinks,Lapsed,Discount,95%,Very high generosity – test with caution; high cost implications.,95
Energy Drinks,Lapsed,Discount,100%,Very high generosity – test with caution; high cost implications.,100
Energy Drinks,New,BOGO,5%,Too low to drive behavior change in any segment.,5
Energy Drinks,New,BOGO,10%,Insufficient to create meaningful impact in most contexts.,10
Energy Drinks,New,BOGO,15%,Test this range in pilot to assess behavioral and financial response.,15
Energy Drinks,New,BOGO,20%,Test this range in pilot to assess behavioral and financial response.,20
Energy Drinks,New,BOGO,25%,Test this range in pilot to assess behavioral and financial response.,25
Energy Drinks,New,BOGO,30%,Test this range in pilot to assess behavioral and financial response.,30
Energy Drinks,New,BOGO,35%,Test this range in pilot to assess behavioral and financial response.,35
Energy Drinks,New,BOGO,40%,Test this range in pilot to assess behavioral and financial response.,40
Energy Drinks,New,BOGO,45%,Test this range in pilot to assess behavioral and financial response.,45
Energy Drinks,New,BOGO,50%,Test this range in pilot to assess behavioral and financial response.,50
Energy Drinks,New,BOGO,55%,Test this range in pilot to assess behavioral and financial response.,55
Energy Drinks,New,BOGO,60%,Test this range in pilot to assess behavioral and financial response.,60
Energy Drinks,New,BOGO,65%,Test this range in pilot to assess behavioral and financial response.,65
Energy Drinks,New,BOGO,70%,Test this range in pilot to assess behavioral and financial response.,70
Energy Drinks,New,BOGO,75%,Very high generosity – test with caution; high cost implications.,75
Energy Drinks,New,BOGO,80%,Very high generosity – test with caution; high cost implications.,80
Energy Drinks,New,BOGO,85%,Very high generosity – test with caution; high cost implications.,85
Energy Drinks,New,BOGO,90%,Very high generosity – test with caution; high cost implications.,90
Energy Drinks,New,BOGO,95%,Very high generosity – test with caution; high cost implications.,95
Energy Drinks,New,BOGO,100%,Very high generosity – test with caution; high cost implications.,100
Energy Drinks,New,Cashback,5%,Too low to drive behavior change in any segment.,5
Energy Drinks,New,Cashback,10%,Insufficient to create meaningful impact in most contexts.,10
Energy Drinks,New,Cashback,15%,Test this range in pilot to assess behavioral and financial response.,15
Energy Drinks,New,Cashback,20%,Test this range in pilot to assess behavioral and financial response.,20
Energy Drinks,New,Cashback,25%,Test this range in pilot to assess behavioral and financial response.,25
Energy Drinks,New,Cashback,30%,Test this range in pilot to assess behavioral and financial response.,30
Energy Drinks,New,Cashback,35%,Test this range in pilot to assess behavioral and financial response.,35
Energy Drinks,New,Cashback,40%,Test this range in pilot to assess behavioral and financial response.,40
Energy Drinks,New,Cashback,45%,Test this range in pilot to assess behavioral and financial response.,45
Energy Drinks,New,Cashback,50%,Test this range in pilot to assess behavioral and financial response.,50
Energy Drinks,New,Cashback,55%,Test this range in pilot to assess behavioral and financial response.,55
Energy Drinks,New,Cashback,60%,Test this range in pilot to assess behavioral and financial response.,60
Energy Drinks,New,Cashback,65%,Test this range in pilot to assess behavioral and financial response.,65
Energy Drinks,New,Cashback,70%,Test this range in pilot to assess behavioral and financial response.,70
Energy Drinks,New,Cashback,75%,Very high generosity – test with caution; high cost implications.,75
Energy Drinks,New,Cashback,80%,Very high generosity – test with caution; high cost implications.,80
Energy Drinks,New,Cashback,85%,Very high generosity – test with caution; high cost implications.,85
